date,delta20d_usd,z,score
date,delta20d_usd,z,score
2025-07-08,-1343.1,-1.62,0
2025-07-09,-1151.3,-1.47,2
2025-07-10,-1199.7,-1.51,1
2025-07-11,-932.2,-1.29,5
2025-07-12,-943.3,-1.30,4
2025-07-13,-224.6,-0.70,6
2025-07-14,0.0,-0.52,9
2025-07-15,0.0,-0.52,9
2025-07-16,0.0,-0.52,9
2025-07-17,0.0,-0.52,9
2025-07-18,0.0,-0.52,9
2025-07-19,0.0,-0.52,9
2025-07-20,0.0,-0.52,9
2025-07-21,0.0,-0.52,9
2025-07-22,0.0,-0.52,9
2025-07-23,172.9,-0.38,64
2025-07-24,0.0,-0.52,9
2025-07-25,0.0,-0.52,9
2025-07-26,253.7,-0.31,67
2025-07-27,431.5,-0.16,70
2025-07-28,816.6,0.15,72
2025-07-29,1085.7,0.37,74
2025-07-30,1606.1,0.80,77
2025-07-31,2011.0,1.13,79
2025-08-01,2618.2,1.63,83
2025-08-02,2716.9,1.72,84
2025-08-03,2803.0,1.79,86
2025-08-04,3000.0,1.95,89
2025-08-05,3000.0,1.95,89
2025-08-06,3000.0,1.95,89
2025-08-07,3000.0,1.95,89
2025-08-08,3000.0,1.95,89
2025-08-09,3000.0,1.95,89
2025-08-10,3000.0,1.95,89
2025-08-11,2827.1,1.81,88
2025-08-12,3000.0,1.95,89
2025-08-13,3000.0,1.95,89
2025-08-14,2746.3,1.74,85
2025-08-15,2568.5,1.59,81
2025-08-16,2183.4,1.28,80
2025-08-17,1914.3,1.06,78
2025-08-18,1393.9,0.63,75
2025-08-19,989.0,0.29,73
2025-08-20,381.8,-0.21,69
2025-08-21,283.1,-0.29,68
2025-08-22,197.0,-0.36,65
2025-08-23,0.0,-0.52,9
2025-08-24,0.0,-0.52,9
2025-08-25,0.0,-0.52,9
2025-08-26,0.0,-0.52,9
2025-08-27,0.0,-0.52,9
2025-08-28,0.0,-0.52,9
2025-08-29,0.0,-0.52,9
2025-08-30,0.0,-0.52,9
2025-08-31,0.0,-0.52,9
2025-09-01,0.0,-0.52,9
2025-09-02,0.0,-0.52,9
2025-09-03,0.0,-0.52,9
2025-09-04,0.0,-0.52,9
2025-09-05,0.0,-0.52,9
2025-09-06,0.0,-0.52,9
2025-09-07,0.0,-0.52,9
2025-09-08,0.0,-0.52,9
2025-09-09,0.0,-0.52,9
2025-09-10,0.0,-0.52,9
2025-09-11,0.0,-0.52,9
2025-09-12,0.0,-0.52,9
2025-09-13,0.0,-0.52,9
2025-09-14,0.0,-0.52,9
2025-09-15,0.0,-0.52,9
2025-09-16,0.0,-0.52,9
2025-09-17,0.0,-0.52,9
2025-09-18,0.0,-0.52,9
2025-09-19,0.0,-0.52,9
2025-09-20,0.0,-0.52,9
2025-09-21,0.0,-0.52,9
2025-09-22,-63.0,-0.57,7
2025-09-23,0.0,-0.52,9
2025-09-24,0.0,-0.52,9
2025-09-25,0.0,-0.52,9
2025-09-26,0.0,-0.52,9
2025-09-27,6.6,0,51
2025-09-28,6.6,0,51
2025-09-29,6.6,0,51
2025-09-30,6.6,0,51
2025-10-01,6.6,0,51
2025-10-02,6.6,0,51
2025-10-03,6.6,0,61
2025-10-04,6.6,0,61
2025-10-05,6.6,0,62
2025-10-06,6.6,0,62
2025-10-29,0,0,56
2025-10-30,0,0,34
2025-10-31,0,0,56
2025-11-01,0,0,65
2025-11-02,0,0,65
2025-11-03,0,0,65
2025-11-04,0,0,87
2025-11-05,0,0,66
2025-11-06,0,0,70
2025-11-07,0,0,67
2025-11-08,0,0,66
2025-11-09,0,0,66
2025-11-10,0,0,66
2025-11-11,0,0,91
2025-11-12,0,0,55
2025-11-13,0,0,54
2025-11-14,0,0,49
2025-11-15,0,0,75
2025-11-16,0,0,75
2025-11-17,0,0,75
2025-11-18,0,0,59
2025-11-19,0,0,81
2025-11-20,0,0,60
2025-11-21,0,0,64
2025-11-22,0,0,62
2025-11-23,0,0,62
2025-11-24,0,0,62
2025-11-25,0,0,75
2025-11-26,0,0,52
2025-11-27,0,0,46
2025-11-28,0,0,46
2025-11-29,0,0,43
2025-11-30,0,0,43
2025-12-01,0,0,43
2025-12-02,0,0,46
2025-12-03,0,0,44
2025-12-04,0,0,45
2025-12-05,0,0,43
2025-12-06,0,0,41
2025-12-07,0,0,41
2025-12-08,0,0,41
2025-12-09,0,0,45
2025-12-10,0,0,51
2025-12-11,0,0,71
2025-12-12,0,0,57
2025-12-13,0,0,79
2025-12-14,0,0,79
2025-12-15,0,0,79
2025-12-16,0,0,58
2025-12-17,0,0,64
2025-12-18,0,0,57
2025-12-19,0,0,61
2025-12-20,0,0,81
2025-12-21,0,0,81